ID,age,gender,hand,trial,sphereOne,sphereTwo,sphereThree,sphereFour,sphereFive,sphereSix,sphereSeven,sphereEight,sphereDistance, sphereAverageRadius,probeStartingRadius,probeAnswerRadius,probeScaleFactor,probeResponseTime,probeResponseOverTimeLimit
36,ageTest,genderTest,handTest,1,(1.3325211026921275;3.046532662270001;4;0.380715168185565),(0.874745371987343;4.006279440297029;4;0.3565767208160995),(-0.11620765699687764;4.328259597455661;4;0.3281859890996538),(-0.9591197337848684;3.926211160611996;4;0.3589339744421845),(-1.3315060463394317;3.069781274990592;4;0.3766555321117554),(-0.9428090415820636;2.057190958417937;4;0.3652505570298692),(0.06978127499059192;1.6684939536605683;4;0.3558375140090497),(0.857050146248719;1.978607409174696;4;0.2337870396596332),4,0.3444928119192263,0.30234239345430436,0.18561200244883233,0.6139132535407592,5.001764199999999,1
36,ageTest,genderTest,handTest,2,(1.9996953903127825;3.034904812874567;6;0.256175769583052),(1.4862896509547885;4.3382612127177165;6;0.29339932354477305),(0.10467191248588793;4.9972590695091474;6;0.34526074315188016),(-1.3121180579810143;4.509419160445544;6;0.2363025990192366),(-1.9951281005196484;2.8604870525117496;6;0.3494154337006822),(-1.3639967201249972;1.537292596761659;6;0.305313626985162),(0.03490481287456626;1.0003046096872175;6;0.26716823894694297),(1.4862896509547885;1.6617387872822837;6;0.35537009146671805),6,0.30105072829980584,0.28886871061652714,0.8872671070000113,3.0715237559178132,5.0005364,1
36,ageTest,genderTest,handTest,3,(2.666260520417043;2.9534602495005773;8;0.3027275436539797),(2.0125588805940584;4.749490743974686;8;0.2139165193315508),(-0.046539750499422605;5.666260520417043;8;0.26628482377949647),(-1.852422321223993;4.918239467569736;8;0.22111488147625127),(-2.6630120926788634;2.860437450018817;8;0.29346203805635224),(-1.8524223212239925;1.0817605324302635;8;0.2904566782047115),(-0.2324153139937553;0.34348080508867884;8;0.24868931189379748),(2.0427851816506073;1.285899707502561;8;0.39505035302781677),8,0.2789627686779945,0.31486747089074857,0.06293336104474592,0.19987253960121618,5.000511199999998,1
