ID,age,gender,hand,trial,sphereOne,sphereTwo,sphereThree,sphereFour,sphereFive,sphereSix,sphereSeven,sphereEight,sphereDistance, sphereAverageRadius,probeStartingRadius,probeAnswerRadius,probeScaleFactor,probeResponseTime,probeResponseOverTimeLimit
25,ageTest,genderTest,handTest,1,(1.3331302602085215;2.9767301247502886;4;0.29054382885658686),(0.874745371987343;4.006279440297029;4;0.3932622178627379),(0.09300863165883363;4.330085400346432;4;0.2324826413152632),(-0.8747453719873428;4.006279440297029;4;0.3058797081308524),(-1.3325211026921275;2.953467337729999;4;0.34835753347809306),(-0.874745371987343;1.9937205597029708;4;0.20220210671214672),(0.11620765699687718;1.6717404025443394;4;0.29838924062828737),(0.9262111606119963;2.040880266215132;4;0.31647873525943016),4,0.2984495015304247,0.31648764319628153,0.31648764319628153,1.0,5.0042286,1
25,ageTest,genderTest,handTest,2,(2.6601708006928644;3.1860172633176673;8;0.2664072145500971),(1.8856180831641267;4.885618083164127;8;0.28933008706362795),(0.1395625499811839;5.663012092678864;8;0.3049826602662057),(-1.9817195346063843;4.784348283623622;8;0.2859178320731097),(-2.6601708006928644;3.186017263317668;8;0.3150443916290111),(-1.9502765376511215;1.1813377065000044;8;0.3460450693319685),(-0.2324153139937553;0.34348080508867884;8;0.23494315837688973),(1.8524223212239925;1.081760532430264;8;0.37677039727643485),8,0.3024301013209181,0.28520229544153536,0.28520229544153536,1.0,5.0004754999999985,1
25,ageTest,genderTest,handTest,3,(1.992389396183491;3.1743114854953163;6;0.28945158921399733),(1.4862896509547885;4.3382612127177165;6;0.3685042246685886),(1.2246467991473532e-16;5.0;6;0.2215554808501167),(-1.4862896509547883;4.3382612127177165;6;0.2140133087647824),(-1.9996953903127825;3.034904812874567;6;0.20468592110191097),(-1.3121180579810146;1.490580839554456;6;0.3675377838063574),(-3.6739403974420594e-16;1.0;6;0.2980805715459678),(1.4142135623730947;1.5857864376269046;6;0.3922685785033343),6,0.2945121823068819,0.3287760186148546,0.3287760186148546,1.0,5.013948299999999,1
