ID,age,gender,hand,height,trial,sphereOne,sphereTwo,sphereThree,sphereFour,sphereFive,sphereSix,sphereSeven,sphereEight,sphereDistance, sphereAverageRadius,probeStartingRadius,probeAnswerRadius,probeScaleFactor,probeResponseTime,probeResponseOverTimeLimit
49,22,other,right,1.6381367444992065,1,(1.9951281005196484;1.7776496919874571;10;0.24732639381209487),(1.532088886237956;2.923711963872285;10;0.3370319845495623),(-0.06979899340500191;3.6369183985373983;10;0.3345573689218646),(-1.462707403238341;3.0021334646242037;10;0.2847381002875294),(-1.9987816540381915;1.5683377510942047;10;0.2594234316913497),(-1.3893167409179945;0.19945714382190416;10;0.3316564491840498),(0.17431148549531578;-0.35425265168428455;10;0.38718018305727525),(1.3893167409179945;0.19945714382190438;10;0.22060552003955763),10,0.30031492894291045,0.33679127214297394,0.33679127214297394,1.0,0.17795629999999996,0
49,22,other,right,1.6381367444992065,2,(0.7969557584733965;1.7078613386973331;4;0.26773975392714233),(0.5557266963671978;2.2136085847701277;4;0.38759552627593596),(-0.06972459419812659;2.435092502972603;4;0.27821693441090034),(-0.555726696367198;2.2136085847701272;4;0.35012935741307877),(-0.7980512402078594;1.5823315655039063;4;0.23884019346403806),(-0.5142300877492316;1.0253011900040243;4;0.3611000641889637),(0.05580517899530018;0.8400855042913471;4;0.2975629733957659),(0.5850829612953365;1.0925380564492078;4;0.26932878568528734),4,0.30631419859513903,0.26628225407608813,0.26628225407608813,1.0,0.19973380000000063,0
49,22,other,right,1.6381367444992065,3,(3.1956145112146364;1.4706616845217861;16;0.3080036457549441),(2.056920350996926;4.089478962479936;16;0.3348547497194688),(-0.22322071598120108;4.830341705330644;16;0.2801581940261082),(-2.056920350996926;4.089478962479936;16;0.3776857156129589),(-3.192204960831438;1.8613574604804082;16;0.3144606338968584),(-2.0993888927696234;-0.7769339122136643;16;0.3350507990961489),(-0.055847700599307194;-1.5613758800012456;16;0.22427705170134093),(2.0993888927696225;-0.7769339122136647;16;0.22250076663919988),16,0.29962394455587854,0.3190636358899325,0.3190636358899325,1.0,0.18896419999999914,0
