ID,age,gender,hand,trial,sphereOne,sphereTwo,sphereThree,sphereFour,sphereFive,sphereSix,sphereSeven,sphereEight,sphereDistance, sphereAverageRadius,probeStartingRadius,probeAnswerRadius,probeScaleFactor,probeResponseTime,probeResponseOverTimeLimit
37,ageTest,genderTest,handTest,1,(1.9987816540381915;2.930201006594998;6;0.35459623520057293),(1.2855752193730787;4.532088886237956;6;0.21023299275778234),(-0.06979899340500191;4.998781654038192;6;0.33507666572995254),(-1.5320888862379558;4.285575219373079;6;0.36209693324587633),(-1.9972590695091477;3.1046719124858875;6;0.2974407491787366),(-1.532088886237956;1.7144247806269215;6;0.23357954616935242),(0.10467191248588789;1.0027409304908523;6;0.37837290904158816),(1.4142135623730947;1.5857864376269046;6;0.20005485965897227),6,0.2964313613728542,0.31370778281455564,0.2608440942270148,0.8314874813966904,5.0021976,1
37,ageTest,genderTest,handTest,2,(2.666260520417043;3.0465397504994227;8;0.24656685108504214),(1.8186622934999959;4.950276537651121;8;0.3828207770785531),(-0.046539750499422605;5.666260520417043;8;0.21617923672429795),(-2.0125588805940584;4.749490743974686;8;0.20400064617572122),(-2.665042205384255;2.9069346754599974;8;0.33463008520902277),(-1.7141002924974384;0.9572148183493923;8;0.3082476699804689),(-4.898587196589412e-16;0.3333333333333335;8;0.21587827769190637),(1.9502765376511217;1.1813377065000048;8;0.27955548787761036),8,0.27348487897782786,0.33088165077696213,0.3900791357745201,1.178908334319999,2.2989841999999996,0
37,ageTest,genderTest,handTest,3,(1.3325211026921275;3.046532662270001;4;0.39281420151885793),(0.9262111606119963;3.9591197337848683;4;0.30921001637939155),(-0.11620765699687764;4.328259597455661;4;0.278240240079283),(-0.9908597673031921;3.892174141811811;4;0.38652518523329604),(-1.3282595974556606;2.883792343003123;4;0.22222086903491067),(-0.874745371987343;1.9937205597029708;4;0.2589508220783656),(-0.04653266227000101;1.6674788973078725;4;0.35403185548068294),(0.8921741418118103;2.009140232696807;4;0.37265014150277675),4,0.32183041641344556,0.3062218120632278,0.21490461275938808,0.7017939424740103,2.5498521000000007,0
