ID,age,gender,hand,ipd,vision,height,trial,sphereOne,sphereTwo,sphereThree,sphereFour,sphereFive,sphereSix,sphereSeven,sphereEight,sphereDistance, sphereAverageRadius,probeStartingRadius,probeAnswerRadius,probeScaleFactor,probeResponseTime,probeResponseOverTimeLimit
4,18,female,right,.6,none,1.5345087051391602,1,(2.988584094275237;1.2730414768961857;18;0.23613932722213266),(1.9283628290596182;3.8326420344960943;18;0.34577465285405995),(0.2614672282429744;4.523092799414397;18;0.3770711957439285),(-2.1213203435596424;3.655829048698803;18;0.259132747503899),(-2.998172481057287;1.6392071952466636;18;0.3459324542606168),(-2.121320343559643;-0.5868116384204822;18;0.39738872653477364),(-0.26146722824297475;-1.4540753891360767;18;0.28298792737473855),(2.121320343559642;-0.5868116384204827;18;0.21217342994364935),18,0.3070750576797248,0.2974437940127086,0.23883512324359243,0.8029588381103959,3.133174799999992,0
4,18,female,right,.6,none,1.5345087051391602,2,(0.9961946980917455;1.447352962391502;6;0.2428582077599694),(0.754709580222772;2.1905677341296674;6;0.28593940251314054),(0.03489949670250108;2.533899532158256;6;0.22141693300733908),(-0.7071067811865475;2.2416154863257076;6;0.32879254399425384),(-1.0;1.5345087051391604;6;0.3746181911808011),(-0.766044443118978;0.8917210954526209;6;0.38112055383359844),(0.052335956242943946;0.5358791703845863;6;0.21579220648707903),(0.6946583704589973;0.8151689048005091;6;0.3548760551106532),6,0.30067676173585434,0.34204518111050497,0.2705693346645167,0.7910339031413032,2.130528400000003,0
4,18,female,right,.6,none,1.5345087051391602,3,(0.9993908270190958;1.4996092084366592;6;0.2629478704469382),(0.7071067811865476;2.2416154863257076;6;0.3985948884243429),(-0.017452406437283477;2.534356400295551;6;0.37107830195679437),(-0.7431448254773941;2.2036393114980184;6;0.20341846312604595),(-1.0;1.5345087051391604;6;0.3476465618236281),(-0.7547095802227721;0.8784496761486531;6;0.24435035411511655),(-0.052335956242944306;0.5358791703845863;6;0.34474222693524637),(0.7071067811865474;0.8274019239526125;6;0.3481885307704976),6,0.31512089969982626,0.260046354613178,0.24130140118526655,0.9279168767591656,2.255589999999998,0
4,18,female,right,.6,none,1.5345087051391602,4,(1.992389396183491;1.3601972196438439;12;0.3365398069832772),(1.3382612127177165;3.0207983560939486;12;0.24480870404184807),(-0.034904812874566954;3.5342040954519427;12;0.337198141571186),(-1.3639967201249967;2.9972161083775015;12;0.2628910240631199),(-1.9996953903127825;1.569413518013727;12;0.3792494414901334),(-1.285575219373079;0.0024198189012043514;12;0.21147341855416904),(-0.1743114854953165;-0.45788069104433093;12;0.33346514008506445),(1.312118057981014;0.025089544693615684;12;0.31931505439980434),12,0.3031175913985753,0.2978593571262649,0.24277430292454055,0.8150635429647646,3.000024300000007,0
4,18,female,right,.6,none,1.5345087051391602,5,(1.9972590695091477;1.4298367926532725;12;0.39886545751581387),(1.4142135623730951;2.948722267512255;12;0.33994755578637703),(-0.06979899340500191;3.533290359177352;12;0.20501105186653673),(-1.509419160445544;2.8466267631201747;12;0.23515923185168341),(-1.9972590695091477;1.6391806176250479;12;0.33358821677667294),(-1.4142135623730954;0.12029514276606523;12;0.2890274653069351),(0.10467191248588789;-0.4627503643699875;12;0.3328339619651205),(1.4627074032383414;0.17051198501416365;12;0.23095607471378454),12,0.2956736269728655,0.2968397710414335,0.22338631694956926,0.752548474774253,1.7000117000000046,0
4,18,female,right,.6,none,1.5345087051391602,6,(2.988584094275237;1.7959759333821346;18;0.2325191450584562),(1.9681770869715218;3.798637445807476;18;0.26461561971472997),(0.1570078687288319;4.530397309402882;18;0.24350136707374143),(-2.2294344764321825;3.5419005242157353;18;0.2214801535762811),(-2.9926921507794724;1.3252392839067844;18;0.30454381685945875),(-2.1940611048575116;-0.5114863750483352;18;0.33224837751673664),(-0.15700786872883293;-1.4613798991245615;18;0.25843019915741167),(2.1580194010159524;-0.5494664062378325;18;0.3812734406665793),18,0.2798265149529244,0.3157904577910788,0.195639738751599,0.6195239087339071,2.199901600000004,0
