ID,age,gender,hand,height,trial,sphereOne,sphereTwo,sphereThree,sphereFour,sphereFive,sphereSix,sphereSeven,sphereEight,sphereDistance, sphereAverageRadius,probeStartingRadius,probeAnswerRadius,probeScaleFactor,probeResponseTime,probeResponseOverTimeLimit
42,ageTest,genderTest,handTest,1.6343170404434204,1,(1.9951281005196484;1.773829987931671;6;0.3961651293779822),(1.3382612127177165;3.120606691398209;6;0.3527694589700154),(-0.17431148549531647;3.6267064366269115;6;0.3966298636486632),(-1.509419160445544;2.946435098424435;6;0.3401470321745249),(-1.9987816540381915;1.5645180470384186;6;0.22092225467423274),(-1.3121180579810146;0.12489787999787638;6;0.3534919146585921),(-0.1743114854953165;-0.3580723557400707;6;0.2522553845025069),(1.312118057981014;0.12489787999787594;6;0.31644646928753944),6,0.3286034384117571,0.30551969456048556,0.30551969456048556,1.0,0.18840389999999996,0
42,ageTest,genderTest,handTest,1.6343170404434204,2,(2.656519194911321;1.4019017264496654;8;0.24776533298018383),(1.7141002924974382;3.677102222094028;8;0.3360370654449969),(-0.18601726331766755;4.294487841136284;8;0.21892961059564947),(-1.852422321223993;3.5525565080131565;8;0.2910634390604355),(-2.665042205384255;1.7273823649834235;8;0.3424088992238141),(-1.8856180831641272;-0.2513010427207061;8;0.2767550179796422),(-0.09306532454000202;-1.0307251649408347;8;0.2715254397719234),(1.8856180831641263;-0.25130104272070675;8;0.21619352823728466),8,0.27508479166174127,0.33301203218987546,0.33301203218987546,1.0,0.21047999999999956,0
42,ageTest,genderTest,handTest,1.6343170404434204,3,(2.6601708006928644;1.820334303761088;8;0.23864540077617627),(1.8186622934999959;3.5845935780945415;8;0.3022391926947323),(-0.13956254998118356;4.297329133122284;8;0.2169814663445592),(-1.8856180831641265;3.519935123607547;8;0.34808685494436353),(-2.6601708006928644;1.8203343037610884;8;0.3109458211760398),(-1.8856180831641272;-0.2513010427207061;8;0.3284011404167644),(-0.2324153139937553;-1.0222021544679007;8;0.3477741914734191),(1.8524223212239925;-0.28392242712631566;8;0.27783137228302524),8,0.296363180013635,0.2675528887108757,0.2675528887108757,1.0,0.23305440000000033,0
42,ageTest,genderTest,handTest,1.6343170404434204,4,(1.3300854003464322;1.727325672102254;4;0.30111100364293614),(0.874745371987343;2.6405964807404496;4;0.2143532750099881),(8.164311994315688e-17;2.9676503737767534;4;0.360813024361794),(-1.0213925908253039;2.4913671866921394;4;0.27008365035147064),(-1.3331302602085215;1.6575869156931318;4;0.3567419142187945),(-1.0213925908253039;0.7772668941947014;4;0.3492912077531667),(-0.04653266227000101;0.3017959377512929;4;0.340884504285596),(0.8921741418118103;0.6434572731402277;4;0.3748828892948193),4,0.32102018361482065,0.29717364000029617,0.29717364000029617,1.0,0.2991483000000006,0
42,ageTest,genderTest,handTest,1.6343170404434204,5,(2.666260520417043;1.6808567909428431;8;0.3810317749907588),(2.0427851816506077;3.3484173329408584;8;0.3955218141170392),(0.09306532454000288;4.2993592458276755;8;0.3656322358492209),(-2.0125588805940584;3.3838077844181065;8;0.21367671921430215),(-2.6630120926788634;1.4947544904622376;8;0.22988661928943077),(-1.8524223212239925;-0.2839224271263161;8;0.3308100601716385),(-0.2324153139937553;-1.0222021544679007;8;0.31974316860021557),(1.8524223212239925;-0.28392242712631566;8;0.33013053351998534),8,0.32080411571907386,0.3077555427607879,0.3077555427607879,1.0,0.22145619999999866,0
42,ageTest,genderTest,handTest,1.6343170404434204,6,(1.9987816540381915;1.5645180470384186;6;0.2663225537374906),(1.532088886237956;2.919892259816499;6;0.2699346320628168),(-0.034904812874566954;3.634012430756203;6;0.35486362350191564),(-1.3639967201249967;3.0970244436817618;6;0.32683426389218573),(-1.9987816540381915;1.7041160338484227;6;0.2780331937084984),(-1.285575219373079;0.1022281542054646;6;0.3266725671205183),(0.17431148549531578;-0.3580723557400707;6;0.3637525686054208),(1.5320888862379556;0.34874182107034124;6;0.23356711748956152),6,0.30249756501480096,0.31203104902685463,0.31203104902685463,1.0,0.23206289999999896,0
42,ageTest,genderTest,handTest,1.6343170404434204,7,(2.666260520417043;1.6808567909428431;8;0.37102568281668874),(1.7141002924974382;3.677102222094028;8;0.3750515944768437),(0.18601726331766727;4.294487841136284;8;0.312956089315945),(-1.9817195346063843;3.4186653240670424;8;0.31573834426000247),(-2.656519194911321;1.4019017264496658;8;0.26477373972122276),(-1.7141002924974384;-0.40846814120718733;8;0.3676551478333304),(-0.09306532454000202;-1.0307251649408347;8;0.2116671766777931),(1.9502765376511217;-0.1843452530565748;8;0.25035094046556705),8,0.3086523394459242,0.25639895673322566,0.25639895673322566,1.0,0.23344370000000048,0
42,ageTest,genderTest,handTest,1.6343170404434204,8,(2.6601708006928644;1.820334303761088;8;0.37612554167558804),(1.8186622934999959;3.5845935780945415;8;0.22361064665303979),(1.6328623988631375e-16;4.3009837071100865;8;0.20890745967636523),(-2.0427851816506077;3.348417332940859;8;0.2220761522696048),(-2.665042205384255;1.541251715903418;8;0.3937017309993899),(-1.9817195346063845;-0.15003124318020156;8;0.2600447957983498),(0.09306532454000341;-1.0307251649408347;8;0.3071992015559494),(2.0427851816506073;-0.07978325205401848;8;0.22929676462542214),8,0.2776202866567136,0.2513279257557947,0.2513279257557947,1.0,0.2099080000000022,0
42,ageTest,genderTest,handTest,1.6343170404434204,9,(1.9987816540381915;1.5645180470384186;6;0.3553904225308558),(1.2855752193730787;3.166405926681376;6;0.21118061350252967),(0.06979899340500216;3.633098694481612;6;0.31520396529508043),(-1.5320888862379558;2.9198922598164994;6;0.2886326674109265),(-1.9996953903127825;1.6692218533179872;6;0.2566363837606538),(-1.4627074032383411;0.2703203203184237;6;0.2742444709132894),(-0.1743114854953165;-0.3580723557400707;6;0.24193122156888835),(1.4862896509547885;0.29605582772570416;6;0.3953697795392854),6,0.2923236905651887,0.28275723419744586,0.28275723419744586,1.0,0.2572519999999976,0
42,ageTest,genderTest,handTest,1.6343170404434204,10,(1.3282595974556606;1.518109383446543;4;0.36053088179726733),(0.892174141811811;2.6251768077466124;4;0.2022174357949677),(0.09300863165883363;2.9644024407898524;4;0.3940191623456711),(-0.8747453719873428;2.6405964807404496;4;0.2381365926336132),(-1.3300854003464322;1.5413084087845867;4;0.3641899006723607),(-0.9751382688255608;0.7249858936934226;4;0.28169960784993153),(-0.11620765699687766;0.30605744298775983;4;0.3089684040909881),(0.8747453719873427;0.6280376001463908;4;0.38876167909385223),4,0.31731545803483147,0.3214138438404126,0.3214138438404126,1.0,0.1898395000000015,0
