ID,age,gender,hand,trial,sphereOne,sphereTwo,sphereThree,sphereFour,sphereFive,sphereSix,sphereSeven,sphereEight,sphereDistance, sphereAverageRadius,probeStartingRadius,probeAnswerRadius,probeScaleFactor,probeResponseTime,probeResponseOverTimeLimit
31,ageTest,genderTest,handTest,1,(1.9996953903127825;3.034904812874567;6;0.3256648407903221),(1.3382612127177165;4.486289650954788;6;0.2815225514792561),(1.2246467991473532e-16;5.0;6;0.3761056728483595),(-1.4862896509547883;4.3382612127177165;6;0.3177847487399669),(-1.9987816540381915;2.930201006594998;6;0.26145992935104695),(-1.3893167409179945;1.5613203993226976;6;0.24119520468325398),(-0.13951294748825116;1.0048718994803516;6;0.3434792118775455),(1.3382612127177156;1.5137103490452108;6;0.3839047702522743),6,0.31638961625275314,0.27116070471588827,0.27116070471588827,1.0,1.7137580999999997,0
31,ageTest,genderTest,handTest,2,(1.3300854003464322;2.906991368341166;4;0.20996882003951634),(0.9908597673031923;3.892174141811811;4;0.23127812832865752),(0.11620765699687752;4.328259597455661;4;0.20833170728515718),(-0.9751382688255605;3.909331146749998;4;0.2557131310025828),(-1.3300854003464322;2.906991368341166;4;0.38845898357064856),(-0.874745371987343;1.9937205597029708;4;0.3500416828728699),(-0.11620765699687766;1.6717404025443394;4;0.23240681982903622),(0.9428090415820631;2.0571909584179364;4;0.3873844069182616),4,0.28294795998084127,0.30252693492804805,0.30252693492804805,1.0,5.0013936999999995,1
31,ageTest,genderTest,handTest,3,(2.6666666666666665;3.0;8;0.23621087502280735),(1.8186622934999959;4.950276537651121;8;0.20307802712591222),(0.046539750499422924;5.666260520417043;8;0.26922605166284524),(-1.950276537651121;4.818662293499996;8;0.2523945331054086),(-2.656519194911321;2.7675846860062454;8;0.3485827358421775),(-1.7843482836236215;1.018280465393615;8;0.39896638399554496),(-4.898587196589412e-16;0.3333333333333335;8;0.3892558707772758),(2.0427851816506073;1.285899707502561;8;0.3935676903272501),8,0.31141027098240276,0.30357646018797313,0.30357646018797313,1.0,5.0006097,1
