ID,age,gender,hand,trial,sphereOne,sphereTwo,sphereThree,sphereFour,sphereFive,sphereSix,sphereSeven,sphereEight,sphereDistance, sphereAverageRadius,probeStartingRadius,probeAnswerRadius,probeScaleFactor,probeResponseTime,probeResponseOverTimeLimit
23,ageTest,genderTest,handTest,1,(1.992389396183491;3.1743114854953163;6;0.349747765496244),(1.509419160445544;4.3121180579810146;6;0.2170877673134275),(0.06979899340500216;4.998781654038192;6;0.2213085285675087),(-1.3121180579810143;4.509419160445544;6;0.21348774621374966),(-1.992389396183491;3.1743114854953163;6;0.3013931245078816),(-1.4627074032383411;1.6360032798750033;6;0.2911221093356644),(-0.06979899340500152;1.0012183459618085;6;0.317877141766019),(1.3382612127177156;1.5137103490452108;6;0.2043331274067133),6,0.264544663825901,0.2835587687553269,0.2835587687553269,1.0,5.002007599999999,1
23,ageTest,genderTest,handTest,2,(2.666260520417043;2.9534602495005773;8;0.2871706692970368),(1.784348283623622;4.981719534606384;8;0.38515092109327853),(-0.18601726331766755;5.660170800692864;8;0.2908448512530474),(-2.0427851816506077;4.714100292497438;8;0.24006683740668355),(-2.6601708006928644;3.186017263317668;8;0.38821983580065955),(-1.9817195346063845;1.215651716376378;8;0.2759394178469358),(0.23241531399375437;0.34348080508867884;8;0.24178405709230433),(1.9502765376511217;1.1813377065000048;8;0.25196251563863936),8,0.2951423881785732,0.338623345509633,0.338623345509633,1.0,5.000435400000001,1
23,ageTest,genderTest,handTest,3,(1.3333333333333333;3.0;4;0.3608907732053675),(0.9428090415820634;3.9428090415820636;4;0.22783297406450348),(-0.09300863165883377;4.330085400346432;4;0.27422283830357064),(-0.9428090415820632;3.9428090415820636;4;0.27720585709837836),(-1.3282595974556606;2.883792343003123;4;0.21747666662624957),(-0.8570501462487192;1.9786074091746961;4;0.3547462061582082),(-0.0930086316588341;1.6699145996535678;4;0.23668296178048698),(0.9751382688255609;2.090668853250002;4;0.3945106907038227),4,0.29294612099257344,0.2691130412627623,0.2691130412627623,1.0,5.000207399999997,1
