ID,age,gender,hand,trial,sphereOne,sphereTwo,sphereThree,sphereFour,sphereFive,sphereSix,sphereSeven,sphereEight,sphereDistance, sphereAverageRadius,probeStartingRadius,probeAnswerRadius,probeScaleFactor,probeResponseTime,probeResponseOverTimeLimit
38,ageTest,genderTest,handTest,1,(1.3315060463394317;3.069781274990592;4;0.30669846345322893),(1.0062794402970292;3.874745371987343;4;0.2533599940514142),(-0.046532662270001274;4.3325211026921275;4;0.34487056997490523),(-0.8570501462487191;4.021392590825304;4;0.3768489678437048),(-1.3282595974556606;3.1162076569968775;4;0.37418330395327826),(-0.9908597673031923;2.107825858188189;4;0.2150678774095058),(-0.02326987524971133;1.6668697397914785;4;0.3005937025035174),(0.9751382688255609;2.090668853250002;4;0.22256933925803854),4,0.29927402730594915,0.3397663145929825,0.516570388070683,1.520369636082082,5.001839,1
38,ageTest,genderTest,handTest,2,(2.6601708006928644;3.1860172633176673;8;0.26351826887547747),(1.8186622934999959;4.950276537651121;8;0.28375322737046316),(0.09306532454000288;5.665042205384255;8;0.34253692225682475),(-1.852422321223993;4.918239467569736;8;0.24046245048397408),(-2.656519194911321;3.232415313993755;8;0.3573139308852582),(-2.012558880594059;1.2505092560253146;8;0.22378481067925246),(-0.1860172633176682;0.3398291993071356;8;0.3303474695782848),(1.8524223212239925;1.081760532430264;8;0.3546958019682627),8,0.2995516102622247,0.2647541240892529,0.1821327739554284,0.6879317728551358,1.6581695000000014,0
38,ageTest,genderTest,handTest,3,(1.9996953903127825;2.965095187125433;6;0.2640250764897391),(1.4862896509547885;4.3382612127177165;6;0.3061368024001068),(0.13951294748825047;4.995128100519649;6;0.30396348867944634),(-1.509419160445544;4.3121180579810146;6;0.3958465910125585),(-1.9951281005196484;3.1395129474882513;6;0.32481173822584875),(-1.4386796006773022;1.6106832590820055;6;0.24299066243701753),(-3.6739403974420594e-16;1.0;6;0.3903613184638237),(1.4627074032383414;1.6360032798750035;6;0.31435827536376154),6,0.3178117441340378,0.2963117108341548,0.4735421276448707,1.5981215400221271,1.574714199999999,0
