ID,age,gender,hand,ipd,vision,height,trial,depthPass,sphereOne,sphereTwo,sphereThree,sphereFour,sphereFive,sphereSix,sphereSeven,sphereEight,sphereDistance, sphereAverageRadius,probeStartingRadius,probeAnswerRadius,probeScaleFactor,probeResponseTime,probeResponseOverTimeLimit
17,19,female,left,58,none,2.0903115272521973,1,False,(0.5999086170938347;2.1007829711145676;3;0.10194243912363059),(0.4091990160374991;2.5291237482236997;3;0.11502506464693012),(0.03140157374576638;2.6894892481049415;3;0.16886590110341243),(-0.40919901603749903;2.5291237482236997;3;0.13084673573786876),(-0.5999086170938347;2.100782971114567;3;0.1512274338355009),(-0.4316038802031906;1.6735165049767988;3;0.10830066720879301),(-0.020939698021500457;1.4906770310407398;3;0.12843349859332276),(0.4242640687119284;1.6660474585402687;3;0.15608095260302712),3,0.13259033660656072,0.21115827540909432,0.1295191704591005,0.6133748261022323,50.55731689999993,0
17,19,female,left,58,none,2.0903115272521973,2,False,(0.5999086170938347;2.1007829711145676;3;0.0959079109383869),(0.3856725658119236;2.549938193123584;3;0.15755960944458913),(0.020939698021500648;2.689946023463655;3;0.1635373608852437),(-0.3856725658119236;2.549938193123584;3;0.13097076537692703),(-0.5999086170938347;2.079840083389827;3;0.15358107481185784),(-0.43881222097150235;1.6811125112146983;3;0.15931330006623054),(-0.04185388424647535;1.4917730970963028;3;0.11826861914286642),(0.40919901603749914;1.651499306280695;3;0.088633768374333),3,0.13347155113005432,0.09014823752023825,0.13774393628744613,1.5279714842624923,2.494693600000005,0
17,19,female,left,58,none,2.0903115272521973,3,False,(0.8987665812791165;2.043209166633548;4.5;0.08812047324396571),(0.6688303429296548;2.69252907297517;4.5;0.16296875771288108),(0.04710236061864957;2.989078108531314;4.5;0.1681135106346708),(-0.5904531260914565;2.769550149452692;4.5;0.08392522421702192),(-0.8987665812791165;2.043209166633548;4.5;0.16865249750575637),(-0.5904531260914566;1.4110729050517024;4.5;0.15458786014185172),(-0.015707165793555147;1.190448601611445;4.5;0.08831793079225625),(0.5785088487178853;1.400871528445117;4.5;0.08831126105470102),4.5,0.12537468941288812,0.16609898362055567,0.16860294656100844,1.0150751249999996,2.5964555000000473,0
17,19,female,left,58,none,2.0903115272521973,4,False,(0.896575228282571;2.011871358779305;4.5;0.12959724577537124),(0.5904531260914566;2.769550149452692;4.5;0.0919908701810407),(-0.0627808263697128;2.988119172486039;4.5;0.171289981185348),(-0.5904531260914565;2.769550149452692;4.5;0.1469335366244996),(-0.8978076452338418;2.1530923536219104;4.5;0.0815112496879675),(-0.6022175457229724;1.4214811843225423;4.5;0.11433630783771803),(0.015707165793554818;1.190448601611445;4.5;0.1573174220869425),(0.6251925334130976;1.4429057069474114;4.5;0.10179332168833377),4.5,0.12434624188340265,0.14214676764379758,0.13726965942612737,0.9656896298205554,1.7193061000000398,0
17,19,female,left,58,none,2.0903115272521973,5,False,(1.1954336377100947;2.194898418549387;6;0.14639838719894838),(0.8776244419430045;2.908709559327195;6;0.11042236720599738),(0.08370776849295028;3.287388387563986;6;0.10806614067125575),(-0.8776244419430045;2.908709559327195;6;0.10639915200031683),(-1.1954336377100947;2.194898418549387;6;0.10239737323262037),(-0.8335900445507967;1.2271037668458158;6;0.1482936650566098),(-0.06280314749153317;0.8919560855467088;6;0.10074306850580413),(0.8183980320749983;1.212687085309193;6;0.13512008639994183),6,0.11973003003393681,0.07614266240411892,0.12919050755760184,1.6966901797042142,2.963537200000019,0
17,19,female,left,58,none,2.0903115272521973,6,False,(0.5985384301558945;2.1321654114986726;3;0.14690562837353296),(0.39363541739430435;2.5431372753858605;3;0.08448265449794473),(0.03140157374576638;2.6894892481049415;3;0.14591224912506567),(-0.4167950222753984;2.521915407455388;3;0.1728436223299262),(-0.5991777208527442;2.058909953506431;3;0.09373268329325714),(-0.43881222097150235;1.6811125112146983;3;0.16359369788836114),(-0.020939698021500457;1.4906770310407398;3;0.1302773279746385),(0.44588689528643655;1.6888331634368825;3;0.15493756488204186),3,0.13658567854559603,0.09939714009300114,0.15805841850668867,1.5901706865891814,3.030341099999987,0
17,19,female,left,58,none,2.0903115272521973,7,False,(0.5977168188550473;2.1426049729007923;3;0.17197351384653808),(0.3856725658119236;2.549938193123584;3;0.1278868067998158),(0.010471443862370158;2.690220144346032;3;0.14056555763085882),(-0.40147836381531493;2.536198422538634;3;0.1686288439597516),(-0.5977168188550473;2.1426049729007923;3;0.08370989231849083),(-0.43881222097150235;1.6811125112146983;3;0.12354124012873233),(0.010471443862369877;1.4904029101583625;3;0.09375590516194922),(0.44588689528643655;1.6888331634368825;3;0.13510831107414398),3,0.1306462588650351,0.13658806654796296,0.13124545216179875,0.9608852038015477,2.660805499999924,0
17,19,female,left,58,none,2.0903115272521973,8,False,(1.197076860311789;2.174019295745148;6;0.1510964337344725),(0.9056514962673263;2.877582362040806;6;0.17376680349119444),(-0.041879396043001144;3.2895805196751122;6;0.1238999975241706),(-0.8029567276306299;2.9820853178250704;6;0.12156281058018256),(-1.199268992422915;2.048432131209196;6;0.11624043629674678),(-0.9192533317427736;1.3189663956283502;6;0.10522651273702571),(-0.020942887724740195;0.8904942930645279;6;0.13785195510977372),(0.8029567276306293;1.1985377366793237;6;0.14030346821064743),6,0.1337435522105267,0.0765591382483209,0.13384308956335017,1.748231401576488,3.0747469000000365,0
17,19,female,left,58,none,2.0903115272521973,9,False,(1.1983554417054885;2.1531146747437298;6;0.14597642909328723),(0.8632077604063814;2.923901571802994;6;0.1697825325214597),(0.020942887724740317;3.290128761439867;6;0.12322232112282995),(-0.7872708347886086;2.995963023519524;6;0.08187225383560551),(-1.199268992422915;2.048432131209196;6;0.1425809558717121),(-0.9192533317427736;1.3189663956283502;6;0.07776383782608),(0.08370776849295027;0.8932346669404081;6;0.10382710066534398),(0.863207760406381;1.2567214827014002;6;0.08113423782654779),6,0.11576995859535828,0.08258564863392573,0.12618851612196016,1.5279714842624923,1.7636049000000185,0
17,19,female,left,58,none,2.0903115272521973,10,False,(0.8987665812791165;2.1374138878708466;4.5;0.1585559926793892),(0.5904531260914566;2.769550149452692;4.5;0.13306586202801957),(0.015707165793555238;2.9901744528929495;4.5;0.14700384342852502),(-0.6137985240562486;2.7485298587094507;4.5;0.1166741891605841),(-0.9;2.0903115272521973;4.5;0.10128202258203378),(-0.6251925334130976;1.4429057069474112;4.5;0.1699220624797044),(0.0627808263697127;1.1925038820183553;4.5;0.13287979479885242),(0.5904531260914564;1.4110729050517024;4.5;0.10813734159709758),4.5,0.13344013859427578,0.06685788940995617,0.1036969772848914,1.5510058453841846,2.763701900000001,0
