ID,age,gender,hand,trial,sphereOne,sphereTwo,sphereThree,sphereFour,sphereFive,sphereSix,sphereSeven,sphereEight,sphereDistance, sphereAverageRadius,probeStartingRadius,probeAnswerRadius,probeScaleFactor,probeResponseTime,probeResponseOverTimeLimit
24,ageTest,genderTest,handTest,1,(1.9996953903127825;3.034904812874567;6;0.3791613554485825),(1.462707403238341;4.363996720124997;6;0.35970488159622693),(-0.10467191248588768;4.9972590695091474;6;0.20458719081304413),(-1.3893167409179947;4.438679600677302;6;0.26929547747838867),(-1.9951281005196484;2.8604870525117496;6;0.24092749866382668),(-1.3121180579810146;1.490580839554456;6;0.33480293825593566),(0.13951294748825044;1.0048718994803514;6;0.3285369893073514),(1.3382612127177156;1.5137103490452108;6;0.3058420616008321),6,0.3028572991455235,0.34022919080733993,0.34022919080733993,1.0,5.001799999999999,1
24,ageTest,genderTest,handTest,2,(2.666260520417043;3.0465397504994227;8;0.3105076693432967),(1.8186622934999959;4.950276537651121;8;0.2985849076457927),(1.6328623988631375e-16;5.666666666666666;8;0.35043078140589307),(-1.7141002924974382;5.042785181650608;8;0.21441635563324882),(-2.6630120926788634;3.1395625499811834;8;0.38290348364465787),(-2.012558880594059;1.2505092560253146;8;0.22863579832307201),(-0.2324153139937553;0.34348080508867884;8;0.37345093489987485),(2.0427851816506073;1.285899707502561;8;0.3474906613370299),8,0.3133025740291082,0.31694387274576763,0.31694387274576763,1.0,5.0132387000000005,1
24,ageTest,genderTest,handTest,3,(1.3282595974556606;3.1162076569968775;4;0.37608302957648576),(0.9908597673031923;3.892174141811811;4;0.2820012472186898),(-0.06978127499059178;4.331506046339432;4;0.3891484403392034),(-1.0062794402970292;3.874745371987343;4;0.32680342825071557),(-1.3282595974556606;2.883792343003123;4;0.3809336992708208),(-0.8921741418118108;2.0091402326968075;4;0.34290483058621773),(-0.04653266227000101;1.6674788973078725;4;0.35251799268526224),(0.9591197337848678;2.073788839388003;4;0.33179702732375016),4,0.34777371190639317,0.3337733511121136,0.3337733511121136,1.0,5.0003736,1
